Algorithm,Map,Run,Computation Time
Skeletonize,Map2,6,"2.6040029525756836
"
Skeletonize,Map2,7,"2.569127082824707
"
Skeletonize,Map2,8,"2.6200029850006104
"
Skeletonize,Map2,9,"2.615034580230713
"
Skeletonize,Map2,10,"2.6050500869750977
"
Skeletonize,Map2,11,"2.5890729427337646
"
Skeletonize,Map2,12,"2.5672688484191895
"
Skeletonize,Map2,13,"2.584105968475342
"
Skeletonize,Map2,14,"2.599046468734741
"
Skeletonize,Map2,15,"2.573141574859619
"
Skeletonize,Map2,16,"2.6230099201202393
"
Skeletonize,Map2,17,"2.6389377117156982
"
Skeletonize,Map2,18,"2.6140053272247314
"
Skeletonize,Map2,19,"2.5711209774017334
"
Skeletonize,Map2,20,"2.5761265754699707
"
Skeletonize,Map2,21,"2.5820913314819336
"
Skeletonize,Map2,22,"2.615001678466797
"
Skeletonize,Map2,23,"2.6099257469177246
"
Skeletonize,Map2,24,"2.545203447341919
"
Skeletonize,Map2,25,"2.557177782058716
"
Skeletonize,Map2,26,"2.5492045879364014
"
Skeletonize,Map2,27,"2.524925470352173
"
Skeletonize,Map2,28,"2.6968066692352295
"
Skeletonize,Map2,29,"2.5781219005584717
"
Skeletonize,Map2,30,"2.6159989833831787
"
Skeletonize,Map2,31,"2.6409337520599365
"
Skeletonize,Map2,32,"2.588381767272949
"
Skeletonize,Map2,33,"2.570122003555298
"
Skeletonize,Map2,34,"2.6329550743103027
"
Skeletonize,Map2,35,"2.520268440246582
"
Skeletonize,Map2,36,"2.5581421852111816
"
Skeletonize,Map2,37,"2.542224645614624
"
Skeletonize,Map2,38,"2.5741324424743652
"
Skeletonize,Map2,39,"2.5285067558288574
"
Skeletonize,Map2,40,"2.666886568069458
"
Skeletonize,Map2,41,"2.5651609897613525
"
Skeletonize,Map2,42,"2.6020572185516357
"
Skeletonize,Map2,43,"2.792527437210083
"
Skeletonize,Map2,44,"2.623978614807129
"
Skeletonize,Map2,45,"2.5990452766418457
"
Skeletonize,Map2,46,"2.5920650959014893
"
Skeletonize,Map2,47,"2.578122615814209
"
Skeletonize,Map2,48,"2.5781002044677734
"
