Algorithm,Map,Run,Computation Time
Skeletonize,Map3,23,"2.1032373905181885
"
Skeletonize,Map3,24,"2.0722243785858154
"
Skeletonize,Map3,25,"2.068347215652466
"
Skeletonize,Map3,26,"2.066030263900757
"
Skeletonize,Map3,27,"2.1030406951904297
"
Skeletonize,Map3,28,"2.0873122215270996
"
Skeletonize,Map3,29,"2.0876293182373047
"
Skeletonize,Map3,30,"2.106337308883667
"
Skeletonize,Map3,31,"2.0839200019836426
"
Skeletonize,Map3,32,"2.115694284439087
"
Skeletonize,Map3,33,"2.077072858810425
"
Skeletonize,Map3,34,"2.0860626697540283
"
Skeletonize,Map3,35,"2.1045472621917725
"
Skeletonize,Map3,36,"2.084825277328491
"
Skeletonize,Map3,37,"2.096508741378784
"
Skeletonize,Map3,38,"2.0975799560546875
"
Skeletonize,Map3,39,"2.077374219894409
"
Skeletonize,Map3,40,"2.0881574153900146
"
Skeletonize,Map3,41,"2.075059413909912
"
Skeletonize,Map3,42,"2.097062826156616
"
Skeletonize,Map3,43,"2.0946593284606934
"
Skeletonize,Map3,44,"2.0889689922332764
"
Skeletonize,Map3,45,"2.0966851711273193
"
Skeletonize,Map3,46,"2.0677661895751953
"
Skeletonize,Map3,47,"2.0869545936584473
"
Skeletonize,Map3,48,"2.083843231201172
"
Skeletonize,Map3,49,"2.096630096435547
"
Skeletonize,Map3,50,"2.0845718383789062
"
Skeletonize,Map3,51,"2.07002592086792
"
Skeletonize,Map3,52,"2.0815231800079346
"
Skeletonize,Map3,53,"2.087364435195923
"
Skeletonize,Map3,54,"2.1081318855285645
"
Skeletonize,Map3,55,"2.080117702484131
"
Skeletonize,Map3,56,"2.093018054962158
"
Skeletonize,Map3,57,"2.1023972034454346
"
Skeletonize,Map3,58,"2.1092593669891357
"
Skeletonize,Map3,59,"2.087261915206909
"
Skeletonize,Map3,60,"2.0834903717041016
"
Skeletonize,Map3,61,"2.0975914001464844
"
Skeletonize,Map3,62,"2.087329149246216
"
Skeletonize,Map3,63,"2.103468179702759
"
Skeletonize,Map3,64,"2.102670431137085
"
Skeletonize,Map3,65,"2.1056599617004395
"
Skeletonize,Map3,66,"2.0617692470550537
"
Skeletonize,Map3,67,"2.0856213569641113
"
Skeletonize,Map3,68,"2.09906268119812
"
Skeletonize,Map3,69,"2.1217987537384033
"
Skeletonize,Map3,70,"2.1017887592315674
"
Skeletonize,Map3,71,"2.106483221054077
"
Skeletonize,Map3,72,"2.125209093093872
"
Skeletonize,Map3,73,"2.093899965286255
"
Skeletonize,Map3,74,"2.1187572479248047
"
Skeletonize,Map3,75,"2.115598201751709
"
Skeletonize,Map3,76,"2.0990586280822754
"
Skeletonize,Map3,77,"2.1116671562194824
"
Skeletonize,Map3,78,"2.0771162509918213
"
Skeletonize,Map3,79,"2.08569073677063
"
Skeletonize,Map3,80,"2.0955398082733154
"
Skeletonize,Map3,81,"2.095953941345215
"
Skeletonize,Map3,82,"2.100288152694702
"
Skeletonize,Map3,83,"2.0921285152435303
"
Skeletonize,Map3,84,"2.0865089893341064
"
Skeletonize,Map3,85,"2.112046241760254
"
Skeletonize,Map3,86,"2.0872209072113037
"
Skeletonize,Map3,87,"2.094855546951294
"
Skeletonize,Map3,88,"2.1106982231140137
"
Skeletonize,Map3,89,"2.0915207862854004
"
Skeletonize,Map3,90,"2.0926921367645264
"
Skeletonize,Map3,91,"2.095372438430786
"
Skeletonize,Map3,92,"2.0970518589019775
"
Skeletonize,Map3,93,"2.077165365219116
"
Skeletonize,Map3,94,"2.1018316745758057
"
Skeletonize,Map3,95,"2.095076084136963
"
Skeletonize,Map3,96,"2.082521438598633
"
Skeletonize,Map3,97,"2.10581636428833
"
Skeletonize,Map3,98,"2.0913164615631104
"
Skeletonize,Map3,99,"2.100165843963623
"
Skeletonize,Map3,100,"2.115265369415283
"
Skeletonize,Map4,1,"2.0038764476776123
"
Skeletonize,Map4,2,"2.0366432666778564
"
Skeletonize,Map4,3,"2.0415902137756348
"
Skeletonize,Map4,4,"2.043942451477051
"
Skeletonize,Map4,5,"2.0796992778778076
"
Skeletonize,Map4,6,"2.096302032470703
"
Skeletonize,Map4,7,"2.0602099895477295
"
Skeletonize,Map4,8,"2.036759853363037
"
Skeletonize,Map4,9,"2.055940866470337
"
Skeletonize,Map4,10,"2.04289174079895
"
Skeletonize,Map4,11,"2.0424857139587402
"
Skeletonize,Map4,12,"2.0616772174835205
"
Skeletonize,Map4,13,"2.073524236679077
"
Skeletonize,Map4,14,"2.0690040588378906
"
Skeletonize,Map4,15,"2.051481008529663
"
Skeletonize,Map4,16,"2.073103427886963
"
Skeletonize,Map4,17,"2.0797691345214844
"
Skeletonize,Map4,18,"2.073679208755493
"
Skeletonize,Map4,19,"2.0660033226013184
"
Skeletonize,Map4,20,"2.0463619232177734
"
Skeletonize,Map4,21,"2.0850002765655518
"
Skeletonize,Map4,22,"2.0534684658050537
"
Skeletonize,Map4,23,"2.0496323108673096
"
Skeletonize,Map4,24,"2.0385050773620605
"
Skeletonize,Map4,25,"2.0587403774261475
"
Skeletonize,Map4,26,"2.0520832538604736
"
Skeletonize,Map4,27,"2.067873954772949
"
Skeletonize,Map4,28,"2.0773935317993164
"
Skeletonize,Map4,29,"2.063251495361328
"
Skeletonize,Map4,30,"2.047880172729492
"
Skeletonize,Map4,31,"2.053614616394043
"
Skeletonize,Map4,32,"2.0765273571014404
"
Skeletonize,Map4,33,"2.0715534687042236
"
Skeletonize,Map4,34,"2.072995662689209
"
Skeletonize,Map4,35,"2.087902545928955
"
Skeletonize,Map4,36,"2.074671745300293
"
Skeletonize,Map4,37,"2.0992510318756104
"
Skeletonize,Map4,38,"2.090327262878418
"
Skeletonize,Map4,39,"2.093592882156372
"
Skeletonize,Map4,40,"2.0712697505950928
"
Skeletonize,Map4,41,"2.090085506439209
"
Skeletonize,Map4,42,"2.1027636528015137
"
Skeletonize,Map4,43,"2.1227200031280518
"
Skeletonize,Map4,44,"2.0976004600524902
"
Skeletonize,Map4,45,"2.0725507736206055
"
Skeletonize,Map4,46,"2.091642379760742
"
Skeletonize,Map4,47,"2.108057737350464
"
Skeletonize,Map4,48,"2.0975377559661865
"
Skeletonize,Map4,49,"2.0957796573638916
"
Skeletonize,Map4,50,"2.1065309047698975
"
Skeletonize,Map4,51,"2.083111524581909
"
Skeletonize,Map4,52,"2.090579032897949
"
Skeletonize,Map4,53,"2.0842978954315186
"
Skeletonize,Map4,54,"2.098543167114258
"
Skeletonize,Map4,55,"2.116572380065918
"
Skeletonize,Map4,56,"2.096449851989746
"
Skeletonize,Map4,57,"2.0943334102630615
"
Skeletonize,Map4,58,"2.0957112312316895
"
Skeletonize,Map4,59,"2.098013401031494
"
Skeletonize,Map4,60,"2.087507963180542
"
Skeletonize,Map4,61,"2.1200063228607178
"
